Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 Mean,CV F1 Std,Overfit Gap,Train Time (s)
Dummy Classifier,0.9424,0.9447,0.0309,0.0261,0.0283,0.5,0.0178,0.0002,-0.0023,0.001
Logistic Regression,0.8637,0.8685,0.1586,0.7582,0.2623,0.8797,0.2556,0.0146,-0.0048,0.291
Ridge Classifier,0.8658,0.8707,0.1582,0.7386,0.2605,0.8761,0.2583,0.0149,-0.005,0.04
K-Nearest Neighbors,0.9817,0.976,0.7152,0.3693,0.4871,0.8368,0.4774,0.0181,0.0057,0.002
Decision Tree,0.9746,0.9619,0.435,0.7876,0.5605,0.8883,0.5856,0.0107,0.0127,0.312
Random Forest,0.9845,0.9751,0.5762,0.7288,0.6436,0.9124,0.6443,0.0214,0.0094,0.781
Extra Trees,0.9746,0.9606,0.4181,0.7092,0.5261,0.8946,0.5473,0.0093,0.014,1.086
Gradient Boosting,0.9888,0.9872,0.9497,0.6176,0.7485,0.9318,0.7757,0.0062,0.0016,7.78
AdaBoost,0.9824,0.9804,0.9912,0.366,0.5346,0.8955,0.5777,0.0273,0.002,1.838
Hist Gradient Boosting,0.9691,0.9705,0.5128,0.8497,0.6396,0.9349,0.6081,0.0177,-0.0014,0.793
